cluster_0	7omm_D_NA_A
cluster_1	3j8d_a_A_B 3j8d_d_D_F
cluster_2	6o8d_H_NA_C
cluster_3	4hjj_H_NA_A
cluster_4	5fhx_H_NA_A
cluster_5	7paa_A_a_F 7paa_B_b_G 7paa_C_c_H 7paa_D_d_I 7paa_E_e_J
cluster_6	1f3r_b_B_A
cluster_7	2kh2_B_b_A
cluster_8	5yd5_A_a_B 5yd5_C_c_D
cluster_9	7b14_D_NA_A 7b17_B_NA_A 7b18_D_NA_A 7b18_E_NA_A 7b18_F_NA_B 7b18_G_NA_B 7b18_H_NA_C 7b18_I_NA_C 7kn5_C_NA_A 7kn5_D_NA_B 7kn6_C_NA_A 7ksg_D_NA_A 7ksg_E_NA_B 7ksg_F_NA_C
cluster_10	7fh0_B_NA_A 7fh0_C_NA_A
cluster_11	4tvp_D_E_B 5cez_D_E_B 5fyl_D_E_B 5t3s_D_E_B 5u7m_D_E_B 5u7o_D_E_B 5um8_D_E_B 5utf_D_E_B 5uty_D_E_B 5v7j_D_E_B 5w6d_D_E_B 5wdu_H_I_A 5wdu_M_N_J 5wdu_U_V_R 6ce0_D_E_B 6ch7_D_E_B 6ch8_D_E_B 6ch9_D_E_B 6ck9_D_E_B 6ieq_D_E_B 6mco_D_E_B 6mdt_D_E_B 6muf_D_E_B 6opa_F_I_B 6utk_D_E_T 6v6w_A_B_K 6v6w_D_E_T 7kmd_A_E_T
cluster_12	6urh_H_L_C
cluster_13	7k90_H_L_B 7k90_M_N_A 7k90_O_P_C 8dce_H_h_A
cluster_14	4h0h_B_b_D
cluster_15	5gru_H_h_A
cluster_16	6ui1_C_NA_A 6ui1_D_NA_A 6ul6_B_NA_A 7m1h_D_NA_A
cluster_17	7deo_A_a_B 7deo_C_c_D
cluster_18	4dqo_H_L_C
cluster_19	4fp8_H_L_A 4fp8_I_M_B 4fp8_J_N_C 4fp8_K_O_D 4fqr_a_b_A 4fqr_c_d_C 4fqr_e_f_E 4fqr_g_h_G 4fqr_i_j_I 4fqr_k_l_K 4fqr_m_n_M 4fqr_o_p_O 4fqr_q_r_Q 4fqr_s_t_S 4fqr_u_v_U 4fqr_w_x_W 5umn_C_D_B 5umn_E_F_A 6d0u_C_D_B 6d0u_E_F_A 6d0u_H_I_G 6d0u_K_L_J 6ml8_H_L_A
cluster_20	4ydj_A_B_I 4ydj_H_L_G
cluster_21	5w08_G_H_A 5w08_I_J_B 5w08_K_L_C 5w08_M_N_F 5w08_O_P_E 5w08_Q_R_D 6ur5_A_B_C 6ur5_G_H_D
cluster_22	1tjg_H_L_P 1tjh_H_L_P 1tji_H_L_P 1u8h_B_A_C 1u8i_B_A_C 1u8j_B_A_C 1u8k_B_A_C 1u8l_B_A_C 1u8m_B_A_C 1u8n_B_A_C 1u8o_B_A_C 1u8p_B_A_C 1u8q_B_A_C 1u91_B_A_C 1u92_B_A_C 1u93_B_A_C 1u95_B_A_C 2f5b_H_L_P 2p8l_B_A_C 2p8p_B_A_C 2pw1_B_A_C 2pw2_B_A_C 3d0v_B_A_C 3idg_B_A_C 3idj_B_A_C 3idm_B_A_C 3lev_H_L_A 3moa_H_L_P 3mob_H_L_P 3mod_H_L_P
cluster_23	7zwf_B_b_A
cluster_24	3h3b_d_D_B
cluster_25	3u2s_A_B_C 3u2s_H_L_G 3u4e_A_B_J 3u4e_H_L_G 5vj6_H_L_E
cluster_26	5lwy_H_L_A 5lx9_H_h_A 5lxa_H_h_A 5lxg_H_L_A 6krz_D_E_A 6krz_F_G_B 6krz_H_I_C 6ks0_H_L_A 6ks1_H_L_A 6yx9_H_L_A 6yxd_H_L_A 6yxf_H_h_A 6yxg_H_h_A
cluster_27	5wn9_H_h_A
cluster_28	5yd3_A_a_B 5yd3_C_c_D 5yd3_E_e_F 5yd3_G_g_H 5yd4_A_a_B 5yd4_C_c_D 5yd4_E_e_F 5yd4_G_g_H 5yy4_A_a_B
cluster_29	6mn7_G_g_A 6mn7_H_h_D 6mn7_I_i_C
cluster_30	6qb3_X_x_A 6qb4_X_x_A 6qfc_B_b_A
cluster_31	7cyv_H_h_B
cluster_32	6xox_E_e_A 7dw9_S_s_A 7f9z_E_e_A 7kh0_S_s_A 7ra3_E_e_A 7rbt_E_e_A 7rgp_E_e_A
cluster_33	7jx3_C_D_R 7l7e_C_D_b 7l7e_E_F_G 7l7e_M_N_S 7l7e_O_P_K 8d8q_H_L_A
cluster_34	7tow_A_B_D 7tow_H_L_E
cluster_35	1q1j_H_L_P 1q1j_I_M_Q 3c2a_H_L_P 3c2a_I_M_Q 3ghb_H_L_P 3ghb_I_M_Q 4m1d_H_L_P 4m1d_I_M_Q
cluster_36	4g6f_B_D_F 4g6f_H_L_P 4u6g_A_B_C 4u6g_H_L_P 5ghw_H_L_P 5iq7_H_L_P 5sy8_H_L_O 5t29_H_L_O 5t6l_A_B_G 5t6l_H_L_I 5t80_H_L_G 5t85_H_L_G 5tfw_H_L_O 6vpx_H_L_G
cluster_37	4s1r_H_L_G 4xny_H_L_G
cluster_38	5u3j_H_L_A
cluster_39	5u3m_H_L_A 5u3n_H_L_A
cluster_40	5u3k_H_L_P 5u3l_A_B_C 5u3l_H_L_P 5u3o_H_L_A
cluster_41	5w0d_B_C_A 7lop_H_L_A 7lop_X_Y_Z
cluster_42	6cbp_A_a_P 6um6_C_D_A 6um6_G_H_E 6um6_K_L_I
cluster_43	6jep_H_L_E 6jep_K_I_F 6jfh_H_L_E 6jfh_K_I_A 6jfh_M_N_C 6jfi_H_L_E 6jfi_K_I_A
cluster_44	7rxp_H_L_A
cluster_45	3h3b_c_C_B
cluster_46	3uze_A_a_C 3uzq_A_a_B
cluster_47	4r2g_D_C_O 4r2g_J_I_K 4r2g_N_M_A 4r2g_Q_P_E 5t3s_H_L_G 5um8_H_L_G 6ce0_H_L_G 6ieq_H_L_G 6mco_H_L_G 6mdt_H_L_G 7kmd_H_L_G 8e1p_B_A_G 8e1p_D_C_E 8e1p_K_J_M
cluster_48	6db7_H_L_P 6db7_I_M_Q
cluster_49	7c8w_A_NA_B 7can_A_NA_B 7d2z_A_NA_B 7d30_A_NA_B
cluster_50	7n08_A_B_E 7n08_C_D_G 7n08_H_L_F
cluster_51	7n4j_H_L_A
cluster_52	7tzg_A_a_D 7tzg_B_b_C 7tzh_A_a_B 7tzh_C_c_D
cluster_53	3tyg_H_L_A 5aco_G_J_C 5aco_H_L_A 5aco_I_K_D 5c7k_A_B_C 5js9_A_B_C 5jsa_A_B_C 6opa_K_J_G
cluster_54	5kaq_F_G_C 5kaq_H_L_B 5kaq_Q_R_A 7u8m_F_E_D 7u8m_H_L_B 7u8m_K_J_I
cluster_55	5npi_A_a_D 5npi_B_b_E 5npj_A_a_D 5npj_B_b_E
cluster_56	5tud_C_B_A 5tud_F_E_D 7srs_Q_P_R
cluster_57	5u68_E_e_A 5u68_F_f_B 5u68_G_g_C
